CIA - The World Factbook --  Refined petroleum products - exports   

Refined petroleum products - exports is the country's total exports of refined petroleum products, in barrels per day (bbl/day).

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 2,920,000 | 2012 est. |
| 2 | United States | 2,311,000 | 2010 est. |
| 3 | European Union | 2,196,000 | 2010 est. |
| 4 | Netherlands | 2,138,000 | 2010 est. |
| 5 | Saudi Arabia | 1,471,000 | 2010 est. |
| 6 | India | 1,247,000 | 2010 est. |
| 7 | Canada | 1,073,000 | 2010 est. |
| 8 | Korea, South | 944,700 | 2010 est. |
| 9 | China | 664,000 | 2013 est. |
| 10 | Kuwait | 656,100 | 2010 est. |
| 11 | Venezuela | 638,000 | 2010 est. |
| 12 | Italy | 628,000 | 2010 est. |
| 13 | United Kingdom | 526,400 | 2013 est. |
| 14 | Algeria | 471,900 | 2010 est. |
| 15 | France | 464,300 | 2010 est. |
| 16 | Belgium | 442,800 | 2010 est. |
| 17 | United Arab Emirates | 382,300 | 2010 est. |
| 18 | Germany | 376,600 | 2010 est. |
| 19 | Japan | 349,900 | 2010 est. |
| 20 | Norway | 349,600 | 2010 est. |
| 21 | Iran | 330,800 | 2010 est. |
| 22 | Virgin Islands | 316,100 | 2010 est. |
| 23 | Sweden | 261,700 | 2010 est. |
| 24 | Taiwan | 255,000 | 2011 est. |
| 25 | Spain | 249,500 | 2010 est. |
| 26 | Aruba | 234,200 | 2010 est. |
| 27 | Bahrain | 226,000 | 2012 est. |
| 28 | Belarus | 224,200 | 2010 est. |
| 29 | Curacao | 211,100 | 2009 est. |
| 30 | Qatar | 210,000 | 2010 est. |
| 31 | Thailand | 192,400 | 2011 est. |
| 32 | Mexico | 189,100 | 2010 est. |
| 33 | Greece | 183,100 | 2010 est. |
| 34 | Malaysia | 176,500 | 2010 est. |
| 35 | Brazil | 158,400 | 2010 est. |
| 36 | Lithuania | 155,000 | 2010 est. |
| 37 | Kazakhstan | 149,800 | 2011 est. |
| 38 | Finland | 144,400 | 2010 est. |
| 39 | Indonesia | 142,400 | 2010 est. |
| 40 | Libya | 119,000 | 2010 est. |
| 41 | Turkey | 107,800 | 2010 est. |
| 42 | Trinidad and Tobago | 106,500 | 2010 est. |
| 43 | Denmark | 104,400 | 2010 est. |
| 44 | Argentina | 94,500 | 2010 est. |
| 45 | Colombia | 92,410 | 2010 est. |
| 46 | Egypt | 90,050 | 2010 est. |
| 47 | Israel | 83,700 | 2010 est. |
| 48 | Peru | 82,080 | 2012 est. |
| 49 | Ukraine | 80,980 | 2010 est. |
| 50 | South Africa | 80,460 | 2010 est. |
| 51 | Romania | 75,480 | 2010 est. |
| 52 | Bulgaria | 73,740 | 2010 est. |
| 53 | Australia | 70,810 | 2010 est. |
| 54 | Slovakia | 70,520 | 2010 est. |
| 55 | Poland | 68,970 | 2010 est. |
| 56 | Turkmenistan | 64,360 | 2010 est. |
| 57 | Portugal | 61,010 | 2010 est. |
| 58 | Hungary | 59,110 | 2010 est. |
| 59 | Azerbaijan | 53,440 | 2010 est. |
| 60 | Oman | 47,710 | 2010 est. |
| 61 | Austria | 43,010 | 2011 est. |
| 62 | Bahamas, The | 41,770 | 2010 est. |
| 63 | Cote d'Ivoire | 38,300 | 2010 est. |
| 64 | Vietnam | 37,050 | 2012 est. |
| 65 | Syria | 36,210 | 2010 est. |
| 66 | Czech Republic | 35,720 | 2010 est. |
| 67 | Pakistan | 34,660 | 2010 est. |
| 68 | Croatia | 30,120 | 2013 est. |
| 69 | Ecuador | 28,000 | 2013 est. |
| 70 | Ireland | 26,120 | 2010 est. |
| 71 | Morocco | 20,830 | 2010 est. |
| 72 | Nigeria | 18,750 | 2010 est. |
| 73 | Philippines | 17,810 | 2010 est. |
| 74 | Angola | 17,750 | 2010 est. |
| 75 | Serbia | 16,060 | 2013 est. |
| 76 | Sudan | 14,950 | 2010 est. |
| 77 | Malta | 14,410 | 2013 est. |
| 78 | Yemen | 14,330 | 2010 est. |
| 79 | Slovenia | 14,210 | 2010 est. |
| 80 | Cameroon | 13,370 | 2010 est. |
| 81 | Chile | 13,040 | 2010 est. |
| 82 | Hong Kong | 12,010 | 2013 est. |
| 83 | Cuba | 11,320 | 2010 est. |
| 84 | Bosnia and Herzegovina | 10,460 | 2010 est. |
| 85 | Ghana | 9,977 | 2010 est. |
| 86 | Gabon | 7,670 | 2010 est. |
| 87 | Switzerland | 7,585 | 2010 est. |
| 88 | Macedonia | 6,750 | 2010 est. |
| 89 | Latvia | 6,146 | 2010 est. |
| 90 | Uzbekistan | 4,968 | 2010 est. |
| 91 | Guatemala | 4,911 | 2010 est. |
| 92 | Uruguay | 4,656 | 2010 est. |
| 93 | Congo, Republic of the | 4,288 | 2010 est. |
| 94 | Iraq | 3,832 | 2010 est. |
| 95 | Papua New Guinea | 3,536 | 2010 est. |
| 96 | Tunisia | 3,391 | 2010 est. |
| 97 | Bangladesh | 3,288 | 2010 est. |
| 98 | New Zealand | 2,471 | 2010 est. |
| 99 | Kyrgyzstan | 2,433 | 2010 est. |
| 100 | El Salvador | 2,425 | 2010 est. |
| 101 | Equatorial Guinea | 2,320 | 2010 est. |
| 102 | Costa Rica | 1,898 | 2010 est. |
| 103 | Iceland | 1,420 | 2010 est. |
| 104 | Kenya | 1,266 | 2010 est. |
| 105 | Suriname | 1,015 | 2010 est. |
| 106 | Nicaragua | 1,000 | 2011 est. |
| 107 | Mozambique | 953 | 2010 est. |
| 108 | Greenland | 920 | 2010 est. |
| 109 | Fiji | 692 | 2010 est. |
| 110 | Senegal | 562 | 2010 est. |
| 111 | Moldova | 552 | 2012 est. |
| 112 | West Bank | 515 | 2010 est. |
| 113 | Tajikistan | 500 | 2013 est. |
| 114 | Montenegro | 369 | 2010 est. |
| 115 | Madagascar | 365 | 2010 est. |
| 116 | Zambia | 254 | 2010 est. |
| 117 | Antigua and Barbuda | 240 | 2010 est. |
| 118 | New Caledonia | 117 | 2010 est. |
| 119 | Albania | 68 | 2010 est. |
| 120 | Luxembourg | 52 | 2010 est. |
| 121 | Gambia, The | 42 | 2010 est. |
| 122 | Armenia | 32 | 2010 est. |
| 123 | Liberia | 23 | 2010 est. |
| 124 | Djibouti | 19 | 2010 est. |
| 125 | Saint Pierre and Miquelon | 0 | 2010 est. |
| 126 | Saint Kitts and Nevis | 0 | 2010 est. |
| 127 | Seychelles | 0 | 2010 est. |
| 128 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 2010 est. |
| 129 | Sierra Leone | 0 | 2010 est. |
| 130 | Singapore | 0 | 2012 est. |
| 131 | Somalia | 0 | 2010 est. |
| 132 | Saint Lucia | 0 | 2010 est. |
| 133 | Turks and Caicos Islands | 0 | 2010 est. |
| 134 | Tonga | 0 | 2010 est. |
| 135 | Togo | 0 | 2010 est. |
| 136 | Sao Tome and Principe | 0 | 2010 est. |
| 137 | Timor-Leste | 0 | 2010 est. |
| 138 | Tanzania | 0 | 2010 est. |
| 139 | Uganda | 0 | 2010 est. |
| 140 | Burkina Faso | 0 | 2010 est. |
| 141 | Saint Vincent and the Grenadines | 0 | 2010 est. |
| 142 | British Virgin Islands | 0 | 2010 est. |
| 143 | Namibia | 0 | 2010 est. |
| 144 | Western Sahara | 0 | 2010 est. |
| 145 | Samoa | 0 | 2010 est. |
| 146 | Swaziland | 0 | 2010 est. |
| 147 | Zimbabwe | 0 | 2010 est. |
| 148 | Afghanistan | 0 | 2010 est. |
| 149 | American Samoa | 0 | 2010 est. |
| 150 | Barbados | 0 | 2010 est. |
| 151 | Botswana | 0 | 2010 est. |
| 152 | Bermuda | 0 | 2012 est. |
| 153 | Belize | 0 | 2010 est. |
| 154 | Bolivia | 0 | 2013 est. |
| 155 | Burma | 0 | 2010 est. |
| 156 | Benin | 0 | 2010 est. |
| 157 | Solomon Islands | 0 | 2010 est. |
| 158 | Bhutan | 0 | 2010 est. |
| 159 | Brunei | 0 | 2010 est. |
| 160 | Burundi | 0 | 2010 est. |
| 161 | Cambodia | 0 | 2010 est. |
| 162 | Chad | 0 | 2010 est. |
| 163 | Sri Lanka | 0 | 2010 est. |
| 164 | Congo, Democratic Republic of the | 0 | 2010 est. |
| 165 | Cayman Islands | 0 | 2010 est. |
| 166 | Comoros | 0 | 2010 est. |
| 167 | Central African Republic | 0 | 2010 est. |
| 168 | Cabo Verde | 0 | 2010 est. |
| 169 | Cook Islands | 0 | 2010 est. |
| 170 | Cyprus | 0 | 2010 est. |
| 171 | Dominica | 0 | 2010 est. |
| 172 | Dominican Republic | 0 | 2010 est. |
| 173 | Estonia | 0 | 2010 est. |
| 174 | Eritrea | 0 | 2010 est. |
| 175 | Ethiopia | 0 | 2010 est. |
| 176 | Falkland Islands (Islas Malvinas) | 0 | 2010 est. |
| 177 | Faroe Islands | 0 | 2010 est. |
| 178 | French Polynesia | 0 | 2010 est. |
| 179 | Georgia | 0 | 2011 est. |
| 180 | Gibraltar | 0 | 2010 est. |
| 181 | Grenada | 0 | 2010 est. |
| 182 | Guam | 0 | 2010 est. |
| 183 | Guinea | 0 | 2010 est. |
| 184 | Guyana | 0 | 2010 est. |
| 185 | Haiti | 0 | 2012 est. |
| 186 | Honduras | 0 | 2010 est. |
| 187 | Jamaica | 0 | 2010 est. |
| 188 | Jordan | 0 | 2010 est. |
| 189 | Korea, North | 0 | 2012 est. |
| 190 | Kiribati | 0 | 2010 est. |
| 191 | Laos | 0 | 2010 est. |
| 192 | Lebanon | 0 | 2010 est. |
| 193 | Lesotho | 0 | 2010 est. |
| 194 | Macau | 0 | 2013 est. |
| 195 | Mongolia | 0 | 2010 est. |
