CIA - The World Factbook --  Electricity - from hydroelectric plants   

Electricity - from hydroelectric plants measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 100.0 | 2010 est. |
| 2 | Mozambique | 99.9 | 2012 est. |
| 3 | Paraguay | 99.9 | 2010 est. |
| 4 | Malawi | 99.7 | 2010 est. |
| 5 | Zambia | 99.6 | 2010 est. |
| 6 | Bhutan | 98.9 | 2010 est. |
| 7 | Congo, Democratic Republic of the | 98.6 | 2010 est. |
| 8 | Burundi | 98.1 | 2010 est. |
| 9 | Laos | 97.4 | 2010 est. |
| 10 | Albania | 94.4 | 2012 est. |
| 11 | Nepal | 92.1 | 2010 est. |
| 12 | Norway | 91.7 | 2010 est. |
| 13 | Tajikistan | 91.0 | 2013 est. |
| 14 | Ethiopia | 89.7 | 2010 est. |
| 15 | Kyrgyzstan | 79.9 | 2010 est. |
| 16 | Togo | 78.8 | 2010 est. |
| 17 | Afghanistan | 76.5 | 2010 est. |
| 18 | Montenegro | 75.8 | 2010 est. |
| 19 | Iceland | 73.0 | 2010 est. |
| 20 | Cameroon | 72.2 | 2010 est. |
| 21 | Brazil | 71.0 | 2010 est. |
| 22 | Latvia | 70.9 | 2010 est. |
| 23 | Namibia | 68.2 | 2013 est. |
| 24 | Switzerland | 68.0 | 2012 est. |
| 25 | Tanzania | 66.8 | 2010 est. |
| 26 | Colombia | 66.6 | 2010 est. |
| 27 | South Sudan | 66.3 | 2010 est. |
| 28 | Sudan | 66.3 | 2010 est. |
| 29 | Uganda | 65.3 | 2010 est. |
| 30 | Venezuela | 64.3 | 2012 est. |
| 31 | Georgia | 62.8 | 2010 est. |
| 32 | Austria | 59.6 | 2012 est. |
| 33 | Ghana | 59.4 | 2010 est. |
| 34 | Uruguay | 59.4 | 2010 est. |
| 35 | Central African Republic | 56.8 | 2010 est. |
| 36 | Costa Rica | 55.5 | 2010 est. |
| 37 | Canada | 54.7 | 2010 est. |
| 38 | New Zealand | 54.2 | 2010 est. |
| 39 | Bosnia and Herzegovina | 53.2 | 2012 est. |
| 40 | Sierra Leone | 52.9 | 2010 est. |
