CIA - The World Factbook --  Airports   

This entry gives the total number of airports or airfields recognizable from the air. The runway(s) may be paved (concrete or asphalt surfaces) or unpaved (grass, earth, sand, or gravel surfaces) and may include closed or abandoned installations. Airports or airfields that are no longer recognizable (overgrown, no facilities, etc.) are not included. Note that not all airports have accommodations for refueling, maintenance, or air traffic control.

| Rank | country | Airports | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 15,079 | 2010 |
| 2 | Brazil | 4,072 | 2010 |
| 3 | Mexico | 1,819 | 2010 |
| 4 | Canada | 1,404 | 2010 |
| 5 | Russia | 1,213 | 2010 |
| 6 | Argentina | 1,141 | 2010 |
| 7 | Colombia | 990 | 2010 |
| 8 | Bolivia | 881 | 2010 |
| 9 | Paraguay | 800 | 2010 |
| 10 | Indonesia | 684 | 2010 |
| 11 | South Africa | 578 | 2010 |
| 12 | Papua New Guinea | 562 | 2010 |
| 13 | Germany | 549 | 2010 |
| 14 | United Kingdom | 505 | 2010 |
| 15 | China | 502 | 2010 |
| 16 | France | 474 | 2010 |
| 17 | Australia | 465 | 2010 |
| 18 | Ecuador | 428 | 2010 |
| 19 | Ukraine | 425 | 2010 |
| 20 | Venezuela | 409 | 2010 |
| 21 | Guatemala | 372 | 2010 |
| 22 | Chile | 366 | 2010 |
| 23 | India | 352 | 2010 |
| 24 | Iran | 319 | 2010 |
| 25 | Philippines | 254 | 2010 |
| 26 | Sweden | 249 | 2010 |
| 27 | Saudi Arabia | 217 | 2010 |
| 28 | Zimbabwe | 216 | 2010 |
| 29 | Peru | 211 | 2010 |
| 30 | Bulgaria | 210 | 2010 |
| 31 | Congo, Democratic Republic of the | 198 | 2010 |
| 32 | Angola | 193 | 2010 |
| 33 | Kenya | 191 | 2010 |
| 34 | Japan | 176 | 2010 |
| 35 | Spain | 154 | 2010 |
| 36 | Costa Rica | 151 | 2010 |
| 37 | Finland | 148 | 2010 |
| 38 | Pakistan | 148 | 2010 |
| 39 | Algeria | 143 | 2010 |
| 40 | Nicaragua | 143 | 2010 |
| 41 | Sudan | 140 | 2010 |
| 42 | Libya | 137 | 2010 |
| 43 | Cuba | 136 | 2010 |
| 44 | Italy | 132 | 2010 |
| 45 | Oman | 130 | 2010 |
| 46 | Namibia | 129 | 2010 |
| 47 | Poland | 129 | 2010 |
| 48 | Tanzania | 124 | 2010 |
| 49 | Czech Republic | 122 | 2010 |
| 50 | New Zealand | 122 | 2010 |
| 51 | Malaysia | 118 | 2010 |
| 52 | Panama | 118 | 2010 |
| 53 | Korea, South | 116 | 2010 |
| 54 | Mozambique | 106 | 2010 |
| 55 | Thailand | 105 | 2010 |
| 56 | Honduras | 104 | 2010 |
| 57 | Syria | 104 | 2010 |
| 58 | Iraq | 104 | 2010 |
| 59 | Iceland | 99 | 2010 |
| 60 | Turkey | 99 | 2010 |
| 61 | Norway | 98 | 2010 |
| 62 | Kazakhstan | 97 | 2010 |
| 63 | Guyana | 96 | 2010 |
| 64 | Zambia | 94 | 2010 |
| 65 | Denmark | 92 | 2010 |
| 66 | Egypt | 86 | 2010 |
| 67 | Madagascar | 84 | 2010 |
| 68 | Greece | 81 | 2010 |
| 69 | Lithuania | 81 | 2010 |
| 70 | Korea, North | 79 | 2010 |
| 71 | Botswana | 78 | 2010 |
| 72 | Burma | 76 | 2010 |
| 73 | Croatia | 69 | 2010 |
| 74 | Belarus | 67 | 2010 |
| 75 | El Salvador | 65 | 2010 |
| 76 | Switzerland | 65 | 2010 |
| 77 | Portugal | 65 | 2010 |
| 78 | Bahamas, The | 62 | 2010 |
| 79 | Ethiopia | 61 | 2010 |
| 80 | Somalia | 59 | 2010 |
| 81 | Morocco | 58 | 2010 |
| 82 | Uruguay | 58 | 2010 |
| 83 | Chad | 56 | 2010 |
| 84 | Austria | 55 | 2010 |
| 85 | Yemen | 55 | 2010 |
| 86 | Nigeria | 54 | 2010 |
| 87 | Uzbekistan | 54 | 2010 |
| 88 | Romania | 54 | 2010 |
| 89 | Afghanistan | 53 | 2010 |
| 90 | French Polynesia | 53 | 2010 |
| 91 | Suriname | 51 | 2010 |
| 92 | Israel | 48 | 2010 |
| 93 | Nepal | 47 | 2010 |
| 94 | Mongolia | 46 | 2010 |
| 95 | Uganda | 46 | 2010 |
| 96 | Belize | 45 | 2010 |
| 97 | Gabon | 44 | 2010 |
| 98 | Vietnam | 44 | 2010 |
| 99 | Belgium | 43 | 2010 |
| 100 | Hungary | 43 | 2010 |
| 101 | Latvia | 42 | 2010 |
| 102 | Laos | 41 | 2010 |
| 103 | United Arab Emirates | 41 | 2010 |
| 104 | Taiwan | 41 | 2010 |
| 105 | Ireland | 39 | 2010 |
| 106 | Central African Republic | 37 | 2010 |
| 107 | Slovakia | 36 | 2010 |
| 108 | Solomon Islands | 36 | 2010 |
| 109 | Azerbaijan | 35 | 2010 |
| 110 | Dominican Republic | 35 | 2010 |
| 111 | Cameroon | 34 | 2010 |
| 112 | Malawi | 32 | 2010 |
| 113 | Tunisia | 32 | 2010 |
| 114 | Vanuatu | 31 | 2010 |
| 115 | Liberia | 29 | 2010 |
| 116 | Serbia | 29 | 2010 |
| 117 | Puerto Rico | 29 | 2010 |
| 118 | Fiji | 28 | 2010 |
| 119 | Kyrgyzstan | 28 | 2010 |
| 120 | Mauritania | 28 | 2010 |
| 121 | Cote d'Ivoire | 27 | 2010 |
| 122 | Turkmenistan | 27 | 2010 |
| 123 | Niger | 27 | 2010 |
| 124 | Jamaica | 27 | 2010 |
| 125 | Netherlands | 27 | 2010 |
| 126 | Antarctica | 26 | 2010 |
| 127 | Tajikistan | 26 | 2010 |
| 128 | Lesotho | 26 | 2010 |
| 129 | Bosnia and Herzegovina | 25 | 2010 |
| 130 | Congo, Republic of the | 25 | 2010 |
| 131 | New Caledonia | 25 | 2010 |
| 132 | Burkina Faso | 24 | 2010 |
| 133 | Georgia | 22 | 2010 |
| 134 | Mali | 20 | 2010 |
| 135 | Senegal | 20 | 2010 |
| 136 | Estonia | 19 | 2010 |
| 137 | Kiribati | 19 | 2010 |
| 138 | Jordan | 18 | 2010 |
| 139 | Sri Lanka | 18 | 2010 |
| 140 | Bangladesh | 17 | 2010 |
| 141 | Cambodia | 17 | 2010 |
| 142 | Guinea | 16 | 2010 |
| 143 | Slovenia | 16 | 2010 |
| 144 | Cyprus | 15 | 2010 |
| 145 | Greenland | 15 | 2010 |
| 146 | Swaziland | 15 | 2010 |
| 147 | Marshall Islands | 15 | 2010 |
| 148 | Haiti | 14 | 2010 |
| 149 | Macedonia | 14 | 2010 |
| 150 | Seychelles | 14 | 2010 |
| 151 | Djibouti | 13 | 2010 |
| 152 | Eritrea | 13 | 2010 |
| 153 | Armenia | 11 | 2010 |
| 154 | Moldova | 11 | 2010 |
| 155 | Ghana | 11 | 2010 |
| 156 | Cape Verde | 10 | 2010 |
| 157 | Cook Islands | 10 | 2010 |
| 158 | Guinea-Bissau | 9 | 2010 |
| 159 | Sierra Leone | 9 | 2010 |
| 160 | Rwanda | 9 | 2010 |
| 161 | Burundi | 8 | 2010 |
| 162 | Togo | 8 | 2010 |
| 163 | Turks and Caicos Islands | 8 | 2010 |
| 164 | Singapore | 8 | 2010 |
| 165 | Kosovo | 8 | 2010 |
| 166 | Equatorial Guinea | 7 | 2010 |
| 167 | Falkland Islands (Islas Malvinas) | 7 | 2010 |
| 168 | Kuwait | 7 | 2010 |
| 169 | Lebanon | 7 | 2010 |
| 170 | Micronesia, Federated States of | 6 | 2010 |
| 171 | Saint Vincent and the Grenadines | 6 | 2010 |
| 172 | Timor-Leste | 6 | 2010 |
| 173 | Qatar | 6 | 2010 |
| 174 | Tonga | 6 | 2010 |
| 175 | Western Sahara | 6 | 2010 |
| 176 | Trinidad and Tobago | 6 | 2010 |
| 177 | Albania | 5 | 2010 |
| 178 | Maldives | 5 | 2010 |
| 179 | Mauritius | 5 | 2010 |
| 180 | Benin | 5 | 2010 |
| 181 | Northern Mariana Islands | 5 | 2010 |
| 182 | Montenegro | 5 | 2010 |
| 183 | Bahrain | 4 | 2010 |
| 184 | British Virgin Islands | 4 | 2010 |
| 185 | Spratly Islands | 4 | 2010 |
| 186 | Svalbard | 4 | 2010 |
| 187 | Samoa | 4 | 2010 |
| 188 | French Southern and Antarctic Lands | 4 | 2010 |
| 189 | Comoros | 4 | 2010 |
| 190 | American Samoa | 3 | 2010 |
| 191 | Palau | 3 | 2010 |
| 192 | Grenada | 3 | 2010 |
| 193 | Cayman Islands | 3 | 2010 |
